epoch,ar_acc,bg_acc,dc,loss,val_ar_acc,val_bg_acc,val_dc,val_loss
0,0.536476194858551,0.7496286630630493,0.5588867664337158,0.5931108593940735,0.7955096364021301,0.6552649140357971,0.587165892124176,0.5559647083282471
1,0.6418063640594482,0.8717289566993713,0.6322489380836487,0.47779086232185364,0.7053338289260864,0.8439114093780518,0.6673818826675415,0.42522132396698
2,0.6291905045509338,0.9022666811943054,0.672044038772583,0.42000243067741394,0.6027262806892395,0.9023767113685608,0.7136924266815186,0.3562633991241455
3,0.6048398613929749,0.9227012395858765,0.7046440839767456,0.374091237783432,0.595402717590332,0.9254851937294006,0.7456915378570557,0.3117448687553406
4,0.5904058218002319,0.936373770236969,0.7327638864517212,0.33574119210243225,0.5733428597450256,0.9388585686683655,0.7733293175697327,0.2751193940639496
5,0.567233145236969,0.9465202689170837,0.7563585042953491,0.3046208620071411,0.5072701573371887,0.9566299915313721,0.7988983988761902,0.24099960923194885
6,0.549333393573761,0.9542793035507202,0.77678382396698,0.27819135785102844,0.4998990297317505,0.9607148766517639,0.817521870136261,0.2185072898864746
7,0.5171024203300476,0.9603686332702637,0.7936801314353943,0.25723037123680115,0.4459432065486908,0.9684963226318359,0.8341583013534546,0.19815900921821594
8,0.5061336159706116,0.9649103879928589,0.8086422085762024,0.23885099589824677,0.4985150992870331,0.9648987054824829,0.8443840742111206,0.18732407689094543
9,0.48331546783447266,0.9683647751808167,0.8208270072937012,0.22459495067596436,0.4768888056278229,0.9680238962173462,0.8554461002349854,0.17462490499019623
10,0.47207555174827576,0.9716123938560486,0.8315963745117188,0.2117353230714798,0.4506414830684662,0.968281626701355,0.8629977703094482,0.1668746918439865
11,0.4437392055988312,0.9742714762687683,0.8401914834976196,0.20220191776752472,0.41956523060798645,0.9757174849510193,0.874244749546051,0.1527346819639206
12,0.438912034034729,0.9766323566436768,0.8482381701469421,0.19251246750354767,0.39972084760665894,0.9779449105262756,0.88164222240448,0.14443443715572357
13,0.4241010248661041,0.9783540368080139,0.855050265789032,0.1844930499792099,0.33755049109458923,0.9823715686798096,0.8900259137153625,0.13550376892089844
14,0.40899187326431274,0.9801048040390015,0.8610522747039795,0.17760640382766724,0.36593014001846313,0.9812020659446716,0.8941539525985718,0.13113820552825928
15,0.395953893661499,0.9814702272415161,0.8659610748291016,0.17235681414604187,0.33910074830055237,0.9840639233589172,0.8993094563484192,0.12507419288158417
16,0.3924511969089508,0.9825708270072937,0.8701730966567993,0.16798028349876404,0.37418031692504883,0.9797842502593994,0.9002300500869751,0.12520401179790497
17,0.3906422257423401,0.983160138130188,0.8746705055236816,0.16241268813610077,0.30761462450027466,0.9858419299125671,0.9068508148193359,0.11725862324237823
18,0.37888702750205994,0.9847326278686523,0.8782843947410583,0.1581207811832428,0.2880553603172302,0.9879509806632996,0.9109299182891846,0.11264931410551071
19,0.36402416229248047,0.985175609588623,0.8810195326805115,0.15566599369049072,0.3011998236179352,0.987193763256073,0.913296103477478,0.11021100729703903
20,0.35862234234809875,0.9861924052238464,0.8842372894287109,0.15152759850025177,0.3086659610271454,0.9868336915969849,0.915510892868042,0.10807500779628754
21,0.3558556139469147,0.9864453077316284,0.8864432573318481,0.14968910813331604,0.3069969117641449,0.9870190024375916,0.9180114269256592,0.10564311593770981
22,0.34526747465133667,0.987217128276825,0.888479471206665,0.14756780862808228,0.3236219882965088,0.9851033687591553,0.916370153427124,0.10742299258708954
23,0.34386318922042847,0.9876505732536316,0.8906122446060181,0.14512291550636292,0.31830599904060364,0.9865075945854187,0.9205663800239563,0.10317544639110565
24,0.3486279249191284,0.9877462983131409,0.8929694294929504,0.14223086833953857,0.3063494861125946,0.9864047765731812,0.9217801690101624,0.10216470062732697
25,0.3315889537334442,0.9884975552558899,0.894318163394928,0.14078281819820404,0.23354122042655945,0.9907383322715759,0.9253025650978088,0.0981651246547699
26,0.3265291154384613,0.9887562394142151,0.8956036567687988,0.1401389241218567,0.2554347813129425,0.9897482395172119,0.9251906871795654,0.09784800559282303
27,0.3201804459095001,0.9891201257705688,0.8967441320419312,0.1391446888446808,0.2610952854156494,0.9897112846374512,0.9276441335678101,0.09559670090675354
28,0.3138112723827362,0.989558219909668,0.8983381390571594,0.1368873119354248,0.2493406981229782,0.9898066520690918,0.9276992678642273,0.09566761553287506
29,0.3128245174884796,0.9898456335067749,0.8994293212890625,0.1359226107597351,0.2549715042114258,0.9899463653564453,0.9284952282905579,0.09463567286729813
30,0.3183850646018982,0.9898840188980103,0.9006308913230896,0.13417428731918335,0.259830117225647,0.9898493885993958,0.9295051693916321,0.09352614730596542
31,0.3148520588874817,0.9898039698600769,0.9017614722251892,0.13354644179344177,0.2588382065296173,0.9897366166114807,0.9308128952980042,0.09248102456331253
32,0.31430965662002563,0.9901040196418762,0.9025554060935974,0.1322101503610611,0.2754870653152466,0.9891263842582703,0.9307724833488464,0.09247244894504547
33,0.30855101346969604,0.9907052516937256,0.9033938050270081,0.13109368085861206,0.24893085658550262,0.9903472065925598,0.9321461319923401,0.09105708450078964
34,0.313729465007782,0.9901771545410156,0.9042922258377075,0.130757138133049,0.24574126303195953,0.9900602102279663,0.9326081871986389,0.09074880927801132
35,0.3079942464828491,0.990566611289978,0.9050076007843018,0.12957723438739777,0.23668329417705536,0.9909802675247192,0.9339650869369507,0.08921035379171371
36,0.3070768713951111,0.9906904101371765,0.9054036736488342,0.1292911171913147,0.27217864990234375,0.9893144965171814,0.9337978363037109,0.08960486948490143
37,0.3026845455169678,0.9907567501068115,0.9064171314239502,0.12832465767860413,0.23068425059318542,0.9913288950920105,0.9351854920387268,0.08796335011720657
38,0.2997371256351471,0.9911496043205261,0.9070565104484558,0.1272721141576767,0.24002137780189514,0.9908326268196106,0.9349281191825867,0.08834265917539597
39,0.29818612337112427,0.9912058115005493,0.9077904224395752,0.1268138587474823,0.22776193916797638,0.9915293455123901,0.9360616207122803,0.08721426129341125
40,0.3013226091861725,0.9911671876907349,0.9083805680274963,0.1259845793247223,0.2283618450164795,0.9910970330238342,0.9366112351417542,0.08705281466245651
41,0.2941684424877167,0.9914608001708984,0.9083458185195923,0.12650622427463531,0.23712876439094543,0.9907774329185486,0.9361212253570557,0.08724413067102432
42,0.2910540997982025,0.9917531609535217,0.90892493724823,0.12530601024627686,0.2335590422153473,0.991384744644165,0.9364531636238098,0.0864475890994072
43,0.294302761554718,0.991715669631958,0.9092791080474854,0.12474393099546432,0.21712996065616608,0.9917190670967102,0.9364540576934814,0.08680460602045059
44,0.2985007166862488,0.9913766980171204,0.9097023010253906,0.12502551078796387,0.2453373670578003,0.9904806017875671,0.937324047088623,0.08623214811086655
45,0.2952623665332794,0.9914370179176331,0.9101983904838562,0.12428539991378784,0.20811356604099274,0.9922621846199036,0.9391627311706543,0.08432672917842865
46,0.2919814884662628,0.9918409585952759,0.910380482673645,0.12409612536430359,0.2259562909603119,0.9915546178817749,0.9381318688392639,0.08505529165267944
47,0.29637691378593445,0.9916104078292847,0.910835862159729,0.12345701456069946,0.23760394752025604,0.990902304649353,0.9384682178497314,0.08499328047037125
48,0.28957921266555786,0.9915541410446167,0.9108889698982239,0.12389419227838516,0.22132335603237152,0.9917680025100708,0.9389498233795166,0.08422059565782547
49,0.2843480408191681,0.9921014904975891,0.9111081957817078,0.12354393303394318,0.21701709926128387,0.9920195937156677,0.939039945602417,0.08404319733381271
50,0.28773143887519836,0.9920175671577454,0.9113720655441284,0.12317776679992676,0.22593846917152405,0.99174565076828,0.939439058303833,0.08372894674539566
51,0.29145756363868713,0.9920715689659119,0.9122273325920105,0.12169899791479111,0.21723687648773193,0.9920570850372314,0.939952552318573,0.08345913141965866
52,0.29064270853996277,0.9921618700027466,0.9126036763191223,0.12118802964687347,0.22321809828281403,0.9917083382606506,0.939913809299469,0.08349592238664627
53,0.28257879614830017,0.992254376411438,0.911872148513794,0.1228424534201622,0.22034330666065216,0.991936445236206,0.9398056268692017,0.08324785530567169
54,0.27622461318969727,0.9923569560050964,0.9121896624565125,0.12252217531204224,0.20709194242954254,0.9922959804534912,0.940131664276123,0.08313710987567902
55,0.2795295715332031,0.9923261404037476,0.9126299023628235,0.1217435672879219,0.24057970941066742,0.9911552667617798,0.9397313594818115,0.0835096463561058
56,0.2851979434490204,0.9923930168151855,0.9129108190536499,0.12124456465244293,0.21056070923805237,0.9924359917640686,0.9408233165740967,0.08231271058320999
57,0.27858060598373413,0.9925485849380493,0.9127126336097717,0.12188887596130371,0.22042647004127502,0.9918468594551086,0.9401125907897949,0.08311198651790619
58,0.27990755438804626,0.9925961494445801,0.9132494926452637,0.12090587615966797,0.19940009713172913,0.992912769317627,0.9411231875419617,0.08194638043642044
59,0.2739030718803406,0.9926261901855469,0.9132161140441895,0.12115366756916046,0.21154074370861053,0.9922366738319397,0.9410386681556702,0.08217359334230423
60,0.2781606614589691,0.9924787878990173,0.9134191274642944,0.12113500386476517,0.21763482689857483,0.9919658303260803,0.9407981634140015,0.08250309526920319
61,0.2744724452495575,0.9924941062927246,0.913083553314209,0.12226823717355728,0.2122832089662552,0.9922685027122498,0.9408982992172241,0.08214487880468369
62,0.282606303691864,0.9924057722091675,0.9139252305030823,0.11990202963352203,0.20665834844112396,0.9924095869064331,0.941620945930481,0.08183257281780243
63,0.2740006148815155,0.9926474690437317,0.9136942028999329,0.1207963079214096,0.20400331914424896,0.9925656318664551,0.9415774345397949,0.08172620087862015
64,0.2782447636127472,0.9926663041114807,0.9141973853111267,0.11964742839336395,0.20583273470401764,0.9924648404121399,0.9415463805198669,0.08166490495204926
65,0.28131771087646484,0.9926114082336426,0.914530336856842,0.11945609003305435,0.20675931870937347,0.9922643303871155,0.9413114190101624,0.08198724687099457
