epoch,ar_acc,bg_acc,dc,loss,val_ar_acc,val_bg_acc,val_dc,val_loss
0,0.3061964511871338,0.9908556938171387,0.9194530248641968,0.12689253687858582,0.23299697041511536,0.9968491196632385,0.9553478360176086,0.06845260411500931
1,0.2814371585845947,0.9939966797828674,0.9229055047035217,0.11897142231464386,0.20575176179409027,0.9973033666610718,0.9572139382362366,0.06727604568004608
2,0.2780933082103729,0.9942973852157593,0.9233223795890808,0.11911919713020325,0.17813655734062195,0.9978430867195129,0.9572677612304688,0.06743345409631729
3,0.28480371832847595,0.9939939975738525,0.9229220747947693,0.12008816748857498,0.1912209838628769,0.9976107478141785,0.9579096436500549,0.06696736812591553
4,0.28572404384613037,0.9938340783119202,0.9225510358810425,0.12183763831853867,0.1950554996728897,0.9975965619087219,0.9573265910148621,0.06705158203840256
5,0.3019794225692749,0.9933074712753296,0.9229775071144104,0.11959148943424225,0.1839219629764557,0.9978275895118713,0.9581034183502197,0.06638675928115845
6,0.2986380159854889,0.9934654235839844,0.9228736758232117,0.12063431739807129,0.18550285696983337,0.9976625442504883,0.9574060440063477,0.067085400223732
7,0.2996467649936676,0.9941667318344116,0.9258061647415161,0.11379725486040115,0.18469558656215668,0.9978301525115967,0.9585545659065247,0.06637591868638992
8,0.28610700368881226,0.9940341711044312,0.9243247509002686,0.11893842369318008,0.18819373846054077,0.9979621767997742,0.9586398601531982,0.0658535361289978
9,0.30537840723991394,0.9940109252929688,0.9261999130249023,0.11365655064582825,0.1945173293352127,0.9976586699485779,0.9584818482398987,0.06610243022441864
10,0.29396042227745056,0.9939739108085632,0.9248405694961548,0.11776837706565857,0.19569458067417145,0.9976645112037659,0.9588313102722168,0.06583993881940842
11,0.31193986535072327,0.9933499693870544,0.9237074255943298,0.1190037801861763,0.2004372626543045,0.997485876083374,0.9588289260864258,0.06597713381052017
12,0.30440783500671387,0.9938182830810547,0.9256927967071533,0.11534680426120758,0.18792465329170227,0.9977266192436218,0.9593746662139893,0.06580597162246704
13,0.29653140902519226,0.9938326478004456,0.9247350096702576,0.11927571147680283,0.18432559072971344,0.9980197548866272,0.9598444104194641,0.06508785486221313
14,0.2937594950199127,0.9942951202392578,0.9265098571777344,0.11447565257549286,0.19811637699604034,0.9977771043777466,0.9598638415336609,0.06522972881793976
15,0.30515772104263306,0.9937331080436707,0.9258346557617188,0.11598510295152664,0.20457451045513153,0.9975777864456177,0.9594860076904297,0.06564349681138992
16,0.3052075505256653,0.9936908483505249,0.9246052503585815,0.11878455430269241,0.21540531516075134,0.9972852468490601,0.9591243267059326,0.06562113761901855
17,0.3254454731941223,0.9933503866195679,0.9263227581977844,0.11357799172401428,0.20729902386665344,0.9977220892906189,0.9595119953155518,0.0650910809636116
18,0.3113957345485687,0.9936143755912781,0.9256191849708557,0.11681050807237625,0.19922636449337006,0.9977738261222839,0.9598211646080017,0.06515083461999893
19,0.30845850706100464,0.9936941862106323,0.9262217879295349,0.11545192450284958,0.2004372626543045,0.9977239966392517,0.9593667984008789,0.06536886841058731
20,0.3102658987045288,0.9937987327575684,0.9264809489250183,0.11404761672019958,0.19966363906860352,0.9976528286933899,0.9592977166175842,0.06552569568157196
21,0.30859193205833435,0.9938958287239075,0.9263250231742859,0.11454508453607559,0.20706357061862946,0.9973331689834595,0.9594127535820007,0.0655132308602333
22,0.3057124614715576,0.9937667846679688,0.9258727431297302,0.11579806357622147,0.2012109011411667,0.9975654482841492,0.9597223401069641,0.0652628019452095
23,0.3221180737018585,0.9934242367744446,0.9259465336799622,0.11509473621845245,0.21866801381111145,0.9973551630973816,0.9594425559043884,0.06514700502157211
24,0.3105947971343994,0.9938520789146423,0.926003098487854,0.11586714535951614,0.2201479971408844,0.9972813725471497,0.9593613147735596,0.06510217487812042
25,0.32045355439186096,0.9935829639434814,0.9261084198951721,0.1153603121638298,0.21244534850120544,0.9974101781845093,0.9593989849090576,0.06539249420166016
26,0.321709543466568,0.9930120706558228,0.9254230856895447,0.11677523702383041,0.2093171924352646,0.9973745942115784,0.9594656825065613,0.06556098163127899
27,0.3131607174873352,0.9940049052238464,0.9265632629394531,0.11422038078308105,0.22031617164611816,0.9972943067550659,0.9594700932502747,0.06511570513248444
28,0.30874836444854736,0.9936889410018921,0.9256719946861267,0.11729887872934341,0.22949881851673126,0.9970296621322632,0.9594666361808777,0.06496334075927734
29,0.3219797909259796,0.9936482310295105,0.926652193069458,0.11338738352060318,0.21506895124912262,0.9973247647285461,0.9595999717712402,0.06538703292608261
30,0.31841132044792175,0.9933179020881653,0.9263643622398376,0.11478579044342041,0.21732257306575775,0.9974444508552551,0.95993572473526,0.06475034356117249
31,0.31022509932518005,0.9937153458595276,0.9259358644485474,0.11569187790155411,0.2184998244047165,0.997360348701477,0.9596083760261536,0.0648491382598877
32,0.31569311022758484,0.9934348464012146,0.9259461164474487,0.11551856994628906,0.22236797213554382,0.9973694086074829,0.9599077105522156,0.06466943025588989
33,0.3179630935192108,0.9934459924697876,0.9261080622673035,0.11635375022888184,0.21927346289157867,0.9972302317619324,0.9595876336097717,0.0651477798819542
34,0.31045427918434143,0.9938716888427734,0.9259946942329407,0.11636495590209961,0.21574167907238007,0.9973227977752686,0.9597198963165283,0.06503093242645264
35,0.32570183277130127,0.9935465455055237,0.9277047514915466,0.11137770116329193,0.21984528005123138,0.9972503185272217,0.96004319190979,0.06471221148967743
36,0.3229272961616516,0.9938142895698547,0.9274367690086365,0.11291490495204926,0.22216616570949554,0.9972438216209412,0.9599146246910095,0.06467321515083313
