epoch,ar_acc,bg_acc,dc,loss,val_ar_acc,val_bg_acc,val_dc,val_loss
0,0.2855629324913025,0.9882859587669373,0.9008127450942993,0.1880456954240799,0.3602139949798584,0.9878027439117432,0.9242080450057983,0.1367427110671997
1,0.31665098667144775,0.988288402557373,0.9025449156761169,0.17911213636398315,0.3873208463191986,0.9872285723686218,0.9259808659553528,0.13325628638267517
2,0.33854833245277405,0.9870426654815674,0.9034394025802612,0.17426519095897675,0.38468602299690247,0.9875622987747192,0.9256466031074524,0.13329637050628662
3,0.3445013761520386,0.9868807792663574,0.9006612300872803,0.18008504807949066,0.40514591336250305,0.9861575365066528,0.9256642460823059,0.13441941142082214
4,0.36330610513687134,0.9867781400680542,0.9034197926521301,0.17081642150878906,0.40157291293144226,0.9868813753128052,0.9254153966903687,0.13032400608062744
5,0.35679420828819275,0.9873460531234741,0.9024660587310791,0.17327919602394104,0.4067228138446808,0.9864998459815979,0.9246028065681458,0.13126860558986664
6,0.3640385568141937,0.9868643879890442,0.9031026363372803,0.1702592372894287,0.4457263648509979,0.9855551719665527,0.9260596632957458,0.12765081226825714
7,0.3852798342704773,0.9863975048065186,0.9041460156440735,0.16583332419395447,0.4135693907737732,0.9863550662994385,0.9247050881385803,0.1300671249628067
8,0.3699866235256195,0.9874405264854431,0.9039285182952881,0.1661449819803238,0.44890016317367554,0.9852840304374695,0.9247071743011475,0.12719586491584778
9,0.38560906052589417,0.9864956736564636,0.9044038653373718,0.16385315358638763,0.43027666211128235,0.9862949848175049,0.9248761534690857,0.1286657154560089
10,0.3865981101989746,0.986479640007019,0.9039532542228699,0.16471931338310242,0.4262844920158386,0.9871758222579956,0.9251180291175842,0.12669822573661804
11,0.38083869218826294,0.9867544770240784,0.9039878845214844,0.16390037536621094,0.43412911891937256,0.9861416220664978,0.9249152541160583,0.12752149999141693
12,0.376428484916687,0.9870657920837402,0.9019860625267029,0.16946269571781158,0.42710286378860474,0.986897349357605,0.9250945448875427,0.12628109753131866
13,0.38336247205734253,0.9868699312210083,0.9036030173301697,0.16411346197128296,0.42955806851387024,0.9866053462028503,0.9245644807815552,0.12678341567516327
